Name,Platform,Year_of_Release,Type_of_Game,Publisher,NA_Sales,EU_Sales,JP_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Guitar Hero Encore: Rocks The 80s,PS2,2007,Misc,RedOctane,0.92,0.04,0,1.11,69,50,6.3,31,Harmonix Music Systems,Below Average
SingStar Legends,PS2,2006,Misc,Sony Computer Entertainment,0.12,0.75,0,1.1,76,25,tbd,,SCEE London Studio,Below Average
Medal of Honor: Airborne,X360,2007,Shooter,Electronic Arts,0.45,0.52,0.01,1.1,73,54,6.7,77,Electronic Arts,Below Average
Guitar Hero 5,PS3,2009,Misc,Activision,0.53,0.39,0,1.09,86,54,5.7,87,Neversoft Entertainment,Below Average
Empire: Total War,PC,2009,Strategy,Sega,0.01,0.97,0,1.08,90,62,6.9,2981,Creative Assembly,Below Average
Tom Clancy's Ghost Recon 2,PS2,2004,Shooter,Ubisoft,0.64,0.34,0,1.08,58,21,6,19,Ubisoft Shanghai/Paris,Below Average
Plants vs. Zombies: Garden Warfare,X360,2014,Shooter,Electronic Arts,0.51,0.47,0,1.08,69,6,7.3,121,PopCap,Excelent
Call of Duty 3,PS2,2006,Shooter,Activision,0.89,0.03,0,1.07,82,14,7.4,83,Treyarch,Below Average
The Orange Box,PS3,2007,Shooter,Electronic Arts,0.28,0.58,0,1.06,89,21,8.4,188,EA Games,Good
DJ Hero,X360,2009,Misc,Activision,0.56,0.39,0,1.06,84,72,8,42,FreeStyleGames,Below Average
Aliens vs Predator,X360,2010,Shooter,Sega,0.55,0.4,0,1.06,64,64,7.3,247,Rebellion,Good
Mercenaries 2: World in Flames,X360,2008,Shooter,Electronic Arts,0.65,0.3,0.01,1.06,72,69,7.2,152,Pandemic Studios,Below Average
Warhawk,PS3,2007,Simulation,Sony Computer Entertainment,0.49,0.39,0,1.06,84,50,8.4,183,Incognito Inc.,Below Average
Dance Dance Revolution SuperNOVA,PS2,2006,Simulation,Konami Digital Entertainment,0.87,0.03,0,1.04,73,25,8.7,6,Konami,Excelent
Aliens vs Predator,PS3,2010,Shooter,Sega,0.41,0.46,0,1.04,65,57,7.3,168,Rebellion,Good
Sonic the Hedgehog,X360,2006,Platform,Sega,0.44,0.48,0,1.04,46,38,4.4,455,Sega,Excelent
Brink,X360,2011,Shooter,Bethesda Softworks,0.59,0.35,0.01,1.03,68,85,5.8,404,Splash Damage,Below Average
Tom Clancy's Ghost Recon Advanced Warfighter 2,PS3,2007,Shooter,Ubisoft,0.34,0.48,0.02,1.03,84,29,8.1,41,"Red Storm Entertainment, Ubisoft Paris",Below Average
Tom Clancy's Ghost Recon Advanced Warfighter 2,X360,2007,Shooter,Ubisoft,0.87,0.05,0.02,1.02,86,58,8.1,89,"Red Storm Entertainment, Ubisoft Paris",Below Average
Sonic Unleashed,PS3,2008,Platform,Sega,0.56,0.32,0.01,1.02,54,24,7.9,130,Sonic Team,Excelent
Bulletstorm,X360,2011,Shooter,Electronic Arts,0.61,0.32,0.01,1.02,84,83,7.6,439,"Epic Games, People Can Fly",Good
Skylanders SWAP Force,PS3,2013,Platform,Activision,0.43,0.42,0,1.02,83,31,5.3,33,Vicarious Visions,Excelent
Ace Combat 6: Fires of Liberation,X360,2007,Simulation,Atari,0.69,0.04,0.22,1.01,80,54,7.9,101,Project Aces,Below Average
Rayman Legends,PS4,2014,Platform,Ubisoft,0.22,0.64,0,1.01,90,16,8.5,525,Ubisoft Montpellier,Excelent
Rayman Origins,PS3,2011,Platform,Ubisoft,0.33,0.49,0.01,1,87,43,8.4,238,UBlart Montpellier,Excelent
Just Dance 2014,X360,2013,Misc,Ubisoft,0.72,0.17,0,0.99,79,16,7.8,33,Ubisoft,Excelent
Haze,PS3,2008,Shooter,Ubisoft,0.49,0.33,0.02,0.99,55,65,6.5,294,Free Radical Design,Good
Guitar Hero: Aerosmith,PS3,2008,Misc,Activision,0.73,0.15,0,0.99,70,39,5,26,Neversoft Entertainment,Below Average
EyePet,PS3,2009,Simulation,Sony Computer Entertainment,0.35,0.52,0.04,0.99,70,35,8.2,20,SCEE London Studio,Average
Far Cry 3,PC,2012,Shooter,Ubisoft,0.22,0.62,0,0.96,88,43,8.2,3183,Ubisoft Montreal,Good
Evolve,PS4,2015,Shooter,Take-Two Interactive,0.36,0.41,0.05,0.96,76,46,4.3,894,Turtle Rock Studios,Good
Farming Simulator 2013,PC,2012,Simulation,Focus Home Interactive,0,0.81,0,0.96,65,12,7.5,111,Giants Software,Average
Sniper Elite V2,PS3,2012,Shooter,505 Games,0.38,0.38,0.06,0.96,70,21,6.9,92,Rebellion,Good
World Championship Poker,PS2,2004,Misc,Play It,0.8,0.03,0,0.95,60,8,7.7,11,Coresoft,Average
Sonic Unleashed,X360,2008,Platform,Sega,0.54,0.32,0,0.95,60,50,7.8,238,Sonic Team,Excelent
Tom Clancy's Ghost Recon: Future Soldier,PS3,2012,Shooter,Ubisoft,0.41,0.32,0.09,0.95,79,18,6.9,156,Ubisoft Paris,Good
Army of Two: The 40th Day,X360,2010,Shooter,Electronic Arts,0.62,0.24,0,0.95,73,79,7.3,126,EA Montreal,Good
Lost Planet 2,PS3,2010,Shooter,Capcom,0.29,0.33,0.2,0.95,68,56,6.9,62,Capcom,Below Average
Killzone,PS2,2004,Shooter,Sony Computer Entertainment,0.79,0.03,0,0.94,70,67,7.4,254,Guerrilla,Good
SingStar Abba,PS3,2008,Misc,Sony Computer Entertainment,0.27,0.5,0,0.93,70,26,5.5,4,SCEE London Studio,Below Average
Operation Flashpoint: Dragon Rising,X360,2009,Shooter,Codemasters,0.36,0.45,0.02,0.93,77,47,7.8,112,Codemasters,Good
Wipeout: In The Zone,X360,2011,Misc,Activision,0.87,0,0,0.93,39,5,5.6,8,Activision,Excelent
Brothers in Arms: Hell's Highway,PS3,2008,Shooter,Ubisoft,0.44,0.34,0,0.93,76,48,8,70,Gearbox Software,Good
Borderlands 2,PC,2012,Shooter,Take-Two Interactive,0.42,0.41,0,0.93,89,38,8.2,2482,Gearbox Software,Good
Tom Clancy's EndWar,X360,2008,Strategy,Ubisoft,0.58,0.24,0.01,0.91,77,63,7.2,53,Ubisoft Shanghai,Below Average
Sonic Mega Collection Plus,XB,2004,Misc,Sega,0.61,0.26,0,0.91,75,20,7.9,12,Sonic Team,Average
Operation Flashpoint: Dragon Rising,PS3,2009,Shooter,Codemasters,0.23,0.46,0.05,0.91,76,42,6.5,53,Codemasters,Good
Crysis 3,X360,2013,Shooter,Electronic Arts,0.51,0.31,0.01,0.9,76,45,6.7,344,Crytek,Good
Far Cry 4,X360,2014,Shooter,Ubisoft,0.45,0.37,0,0.9,,,7,109,Ubisoft Montreal,Good
Homefront,PS3,2011,Shooter,THQ,0.32,0.39,0.04,0.9,70,60,5.7,174,Kaos Studios,Good
Spider-Man 3,PS2,2007,Platform,Activision,0.74,0.03,0.01,0.9,50,14,6.5,28,Vicarious Visions,Below Average
DJ Hero,PS3,2009,Misc,Activision,0.42,0.34,0,0.9,86,53,7.8,49,FreeStyleGames,Below Average
SOCOM 4: U.S. Navy SEALs,PS3,2011,Shooter,Sony Computer Entertainment,0.66,0.11,0.04,0.89,67,64,6.3,121,Zipper Interactive,Good
Call of Duty: Modern Warfare 2,PC,2009,Shooter,Activision,0.01,0.79,0,0.88,86,40,4.2,6430,Infinity Ward,Good
Call of Juarez: Bound in Blood,PS3,2009,Shooter,Ubisoft,0.35,0.37,0.01,0.88,78,47,7.8,91,Techland,Good
Rock Band 3,X360,2010,Misc,MTV Games,0.73,0.09,0,0.88,93,57,8.2,137,Harmonix Music Systems,Below Average
Borderlands: The Handsome Collection,PS4,2015,Shooter,Take-Two Interactive,0.38,0.33,0.03,0.88,82,49,7.8,345,Gearbox Software,Good
Michael Jackson: The Experience,X360,2011,Misc,Ubisoft,0.62,0.18,0,0.87,63,31,6.8,29,Ubisoft Montreal,Excelent
Red Faction: Guerrilla,X360,2009,Shooter,THQ,0.48,0.29,0.01,0.87,85,84,8.1,237,Volition Inc.,Good
Brothers in Arms: Hell's Highway,X360,2008,Shooter,Ubisoft,0.47,0.3,0,0.87,76,65,8.3,149,Gearbox Software,Good
Crysis 3,PS3,2013,Shooter,Electronic Arts,0.26,0.42,0.03,0.87,77,23,6.3,288,Crytek,Good
Mercenaries 2: World in Flames,PS3,2008,Shooter,Electronic Arts,0.29,0.39,0.02,0.87,72,43,7.1,73,Pandemic Studios,Below Average
SingStar '90s,PS2,2007,Misc,Sony Computer Entertainment,0.1,0.59,0,0.87,73,29,tbd,,SCEE,Below Average
Guitar Hero Live,PS4,2015,Misc,Activision,0.34,0.38,0,0.86,80,69,6.2,160,FreeStyleGames,Below Average
Guitar Hero: Warriors of Rock,X360,2010,Misc,Activision,0.47,0.31,0,0.86,72,65,6.5,51,Neversoft Entertainment,Below Average
Army of Two: The 40th Day,PS3,2010,Shooter,Electronic Arts,0.44,0.27,0.01,0.85,74,56,7,88,EA Montreal,Good
Sniper Elite V2,X360,2012,Shooter,505 Games,0.46,0.28,0.02,0.84,67,37,6.8,131,Rebellion,Good
Time Crisis 4,PS3,2007,Shooter,Namco Bandai Games,0.32,0.32,0.05,0.83,60,52,7.4,21,Nex Entertainment,Below Average
Duke Nukem Forever,X360,2011,Shooter,Take-Two Interactive,0.52,0.25,0,0.83,49,76,4.4,456,"Gearbox Software, 3D Realms",Good
Sly 3: Honor Among Thieves,PS2,2005,Platform,Sony Computer Entertainment,0.69,0.03,0,0.83,83,59,8.8,130,Sucker Punch,Excelent
Sid Meier's Civilization Revolution,X360,2008,Strategy,Take-Two Interactive,0.58,0.17,0,0.83,84,55,7.8,171,Firaxis Games,Excelent
DJ Hero 2,X360,2010,Misc,Activision,0.64,0.12,0,0.82,86,66,7.9,23,FreeStyleGames,Below Average
Stranglehold,X360,2007,Shooter,Midway Games,0.4,0.33,0.01,0.82,77,59,7.6,91,Midway,Good
Dance Central 3,X360,2012,Misc,Microsoft Game Studios,0.57,0.18,0,0.81,86,43,8,45,Harmonix Music Systems,Below Average
Tom Clancy's Rainbow Six 3,PS2,2004,Shooter,Ubisoft,0.4,0.31,0,0.81,70,34,8.2,17,Ubisoft Shanghai,Good
Guitar Hero: Warriors of Rock,PS3,2010,Misc,Activision,0.33,0.34,0,0.81,74,46,7.1,30,Neversoft Entertainment,Below Average
The Sims 2,PS2,2005,Simulation,Electronic Arts,0.67,0.03,0,0.81,75,31,4.4,166,Maxis,Below Average
SingStar Vol. 2,PS3,2008,Misc,Sony Computer Entertainment,0.29,0.39,0,0.81,76,36,tbd,,SCEE London Studio,Below Average
Hitman: Contracts,PS2,2004,Shooter,Eidos Interactive,0.39,0.31,0,0.8,80,39,8.3,43,Io Interactive,Good
Guitar Hero: Metallica,X360,2009,Misc,Activision,0.52,0.2,0,0.8,84,62,8.1,79,Neversoft Entertainment,Below Average
Guitar Hero: Aerosmith,PS2,2008,Misc,Activision,0.61,0,0,0.79,71,11,6.3,15,BudCat,Below Average
Dance Dance Revolution SuperNOVA 2,PS2,2007,Simulation,Konami Digital Entertainment,0.64,0.03,0.02,0.79,70,10,tbd,,Konami,Excelent
Band Hero,X360,2009,Misc,Activision,0.51,0.21,0,0.79,76,52,5,30,Neversoft Entertainment,Excelent
Sniper: Ghost Warrior,PS3,2011,Shooter,City Interactive,0.27,0.34,0.04,0.79,53,17,6,34,City Interactive,Good
Sid Meier's Civilization Revolution,PS3,2008,Strategy,Take-Two Interactive,0.49,0.19,0.01,0.78,85,39,7.7,87,Firaxis Games,Excelent
Goldeneye 007: Reloaded,PS3,2011,Shooter,Activision,0.33,0.33,0,0.78,72,38,6.3,52,Eurocom Entertainment Software,Below Average
Rayman Origins,X360,2011,Platform,Ubisoft,0.38,0.32,0,0.78,87,55,8.2,209,UBlart Montpellier,Excelent
Aliens: Colonial Marines,X360,2013,Shooter,Sega,0.36,0.34,0,0.77,48,47,3.8,449,Gearbox Software,Good
Lips,X360,2008,Misc,Microsoft Game Studios,0.12,0.56,0,0.77,71,43,7.4,34,iNiS,Below Average
Perfect Dark Zero,X360,2005,Shooter,Microsoft Game Studios,0.66,0.02,0.03,0.77,81,75,7.3,229,Rare Ltd.,Good
Sonic Unleashed,PS2,2008,Platform,Sega,0.37,0.04,0,0.76,66,5,6.7,49,Sonic Team,Excelent
Syphon Filter: The Omega Strain,PS2,2004,Shooter,Sony Computer Entertainment,0.37,0.29,0,0.76,65,47,6.9,30,Sony Bend,Good
Portal 2,PC,2011,Shooter,Valve Software,0.33,0.32,0,0.76,95,52,8.8,5999,Valve Software,Excelent
Duke Nukem Forever,PS3,2011,Shooter,Take-Two Interactive,0.33,0.31,0,0.76,51,48,4.9,278,"Gearbox Software, 3D Realms",Good
Wall-E,PS2,2008,Platform,THQ,0.21,0,0,0.75,67,8,8.4,9,Asobo Studio,Average
Titanfall 2,PS4,2016,Shooter,Electronic Arts,0.34,0.25,0.05,0.75,89,56,8.4,704,Respawn Entertainment,Good
DJ Hero 2,PS3,2010,Misc,Activision,0.47,0.19,0,0.75,86,46,7.8,22,FreeStyleGames,Below Average
Band Hero,PS3,2009,Misc,Activision,0.41,0.23,0,0.74,76,45,5.7,9,Neversoft Entertainment,Excelent
Red Faction: Guerrilla,PS3,2009,Shooter,THQ,0.33,0.27,0.02,0.74,85,56,8.1,136,Volition Inc.,Good
Brink,PS3,2011,Shooter,Bethesda Softworks,0.29,0.32,0.01,0.73,72,39,5.8,168,Splash Damage,Below Average
Full Spectrum Warrior,XB,2004,Strategy,THQ,0.54,0.16,0,0.73,84,67,8.7,27,Pandemic Studios,Good
Katamari Damacy,PS2,2004,Puzzle,Namco Bandai Games,0.47,0.02,0.17,0.73,86,55,9,86,Namco,Average
Total War: Rome II,PC,2013,Strategy,Sega,0.12,0.53,0,0.72,76,71,4.2,3742,Creative Assembly,Below Average
Borderlands: The Pre-Sequel,X360,2014,Shooter,Take-Two Interactive,0.46,0.19,0.01,0.72,74,16,6.4,161,2K Australia,Good
Battlefield: Bad Company 2,PC,2010,Shooter,Electronic Arts,0.19,0.53,0,0.72,87,46,8.3,1467,EA DICE,Good
XCOM: Enemy Unknown,PC,2012,Strategy,Take-Two Interactive,0.27,0.36,0,0.71,89,57,8.2,2235,Firaxis Games,Good
Crysis,PC,2007,Shooter,Electronic Arts,0,0.69,0,0.71,91,56,8,1970,Crytek,Good
Doom 3: Resurrection of Evil,XB,2005,Shooter,Activision,0.53,0.15,0,0.71,77,41,7.9,16,"id Software, Nerve Software",Good
Omerta: City of Gangsters,X360,2011,Simulation,Konami Digital Entertainment,0.42,0.22,0,0.7,43,18,3.3,25,Kalypso,Below Average
James Bond 007: Blood Stone,PS3,2010,Shooter,Activision,0.18,0.36,0.02,0.7,65,49,7.4,45,Bizarre Creations,Below Average
Halo 2 Multiplayer Map Pack,XB,2005,Shooter,Microsoft Game Studios,0.54,0.13,0,0.69,89,37,7.4,34,Bungie Software,Good
The Sims: Medieval,PC,2011,Simulation,Electronic Arts,0.28,0.32,0,0.69,77,56,6.1,173,The Sims Studio,Below Average
IL-2 Sturmovik: Birds of Prey,PS3,2009,Simulation,505 Games,0.34,0.25,0,0.68,81,28,7.3,20,Gaijin Entertainment,Below Average
The Sly Collection,PS3,2010,Platform,Sony Computer Entertainment,0.52,0.08,0.01,0.68,85,46,8.8,172,Sanzaru Games,Excelent
Sniper Elite 3,PS4,2014,Shooter,505 Games,0.24,0.34,0,0.68,67,41,7.1,178,Rebellion,Good
Midway Arcade Treasures 2,PS2,2004,Misc,Midway Games,0.33,0.26,0,0.68,74,28,tbd,,Backbone Entertainment,Good
Spider-Man 3,PS3,2007,Platform,Activision,0.26,0.29,0.02,0.67,60,33,7,40,Treyarch,Below Average
Star Wars: Republic Commando,XB,2005,Shooter,Activision,0.48,0.17,0,0.67,78,54,8.9,89,LucasArts,Below Average
Unreal Tournament III,PS3,2007,Shooter,Midway Games,0.33,0.23,0,0.67,86,42,7.7,127,Epic Games,Good
Blazing Angels: Squadrons of WWII,PS3,2006,Simulation,Ubisoft,0.35,0.22,0,0.66,67,26,6.9,9,Ubisoft,Below Average
The Darkness,PS3,2007,Shooter,Take-Two Interactive,0.2,0.33,0,0.66,80,35,7.7,107,Starbreeze,Good
The Sims 3: High-End Loft Stuff,PC,2010,Simulation,Electronic Arts,0.01,0.54,0,0.66,,,6.5,17,The Sims Studio,Below Average
Thrillville,PS2,2006,Strategy,Atari,0.55,0.02,0,0.66,69,32,2.9,52,Frontier Developments,Excelent
Napoleon: Total War,PC,2010,Strategy,Sega,0.02,0.53,0,0.66,81,56,7.9,515,Creative Assembly,Below Average
BioShock Infinite,PC,2013,Shooter,Take-Two Interactive,0.29,0.3,0,0.66,94,68,8.5,7322,Irrational Games,Good
Tom Clancy's EndWar,PS3,2008,Strategy,Ubisoft,0.33,0.22,0.01,0.66,76,33,6.6,42,Ubisoft Shanghai,Below Average
Plants vs. Zombies: Garden Warfare,PS3,2014,Shooter,Electronic Arts,0.22,0.32,0.01,0.66,,,7.8,24,PopCap,Excelent
Brothers In Arms: Road to Hill 30,XB,2005,Shooter,Ubisoft,0.49,0.14,0,0.66,88,64,8,69,Gearbox Software,Good
Disney's Chicken Little,PS2,2005,Platform,Disney Interactive Studios,0.32,0.25,0,0.65,60,20,8.9,7,Avalanche Software,Excelent
Scene It? Box Office Smash,X360,2008,Misc,Microsoft Game Studios,0.33,0.25,0,0.65,76,32,7.4,25,"Krome Studios, Screenlife Games",Below Average
Farming Simulator 17,PC,2016,Simulation,Focus Home Interactive,0.03,0.58,0,0.65,64,5,8,20,Giants Software,Average
Spyro: A Hero's Tail,PS2,2004,Platform,Vivendi Games,0.32,0.25,0,0.64,60,16,8,44,Eurocom Entertainment Software,Average
Crash: Twinsanity,PS2,2004,Platform,Vivendi Games,0.32,0.25,0,0.64,64,38,8,129,Traveller's Tales,Average
GoldenEye: Rogue Agent,PS2,2004,Shooter,Electronic Arts,0.54,0.02,0,0.64,60,38,7,32,EA LA,Below Average
James Bond 007: Everything or Nothing,XB,2004,Shooter,Electronic Arts,0.43,0.19,0,0.64,83,51,7.4,27,EA Redwood Shores,Below Average
Lemony Snicket's A Series of Unfortunate Events,PS2,2004,Platform,Activision,0.31,0.24,0,0.64,63,25,5.7,12,Adrenium,Average
Lost Planet: Extreme Condition,PS3,2008,Shooter,Capcom,0.31,0.17,0.07,0.64,67,34,7,36,Capcom,Below Average
LittleBigPlanet 3,PS3,2014,Platform,Sony Computer Entertainment,0.2,0.33,0.01,0.63,,,7.2,64,Sumo Digital,Average
SingStar Queen,PS2,2009,Misc,Sony Computer Entertainment,0.08,0.12,0,0.63,73,9,tbd,,SCEE London Studio,Below Average
Far Cry 4,PC,2014,Shooter,Ubisoft,0.15,0.44,0,0.63,80,17,6.7,1064,Ubisoft Montreal,Good
Wolfenstein,PS3,2009,Shooter,Activision,0.25,0.27,0,0.63,71,58,7.4,77,"id Software, Raven Software",Good
The Walking Dead: Survival Instinct,X360,2013,Shooter,Activision,0.46,0.11,0,0.63,32,30,4,410,Terminal Reality,Good
The Sims 3: Generations,PC,2011,Simulation,Electronic Arts,0.4,0.23,0,0.63,70,22,3.6,81,The Sims Studio,Below Average
Crysis 3,PC,2013,Shooter,Electronic Arts,0.17,0.39,0,0.63,76,47,6.5,1223,Crytek,Good
XCOM: Enemy Unknown,X360,2012,Strategy,Take-Two Interactive,0.36,0.21,0,0.62,90,35,8.3,366,Firaxis Games,Good
Tak 2: The Staff of Dreams,PS2,2004,Platform,THQ,0.3,0.24,0,0.62,71,31,8,10,Avalanche Software,Average
Just Dance 3,PS3,2011,Misc,Ubisoft,0.33,0.2,0,0.62,75,5,6,7,Ubisoft,Excelent
Guitar Hero: Metallica,PS3,2009,Misc,Activision,0.28,0.24,0,0.62,86,44,8,48,Neversoft Entertainment,Below Average
Wall-E,X360,2008,Platform,THQ,0.29,0.26,0,0.62,50,32,6.3,6,Heavy Iron Studios,Average
Wet,PS3,2009,Shooter,Bethesda Softworks,0.22,0.27,0.01,0.61,70,61,6.4,55,Artificial Mind and Movement,Good
Plants vs. Zombies: Garden Warfare,PS4,2014,Shooter,Electronic Arts,0.21,0.29,0.01,0.61,75,23,7.6,259,PopCap,Excelent
Vanquish,PS3,2010,Shooter,Sega,0.21,0.21,0.11,0.61,84,61,8.1,304,PlatinumGames,Good
Half-Life 2,XB,2005,Shooter,Electronic Arts,0.37,0.21,0,0.61,90,35,8.6,115,Valve Software,Good
Borderlands: The Pre-Sequel,PS3,2014,Shooter,Take-Two Interactive,0.26,0.21,0.05,0.61,77,24,6.3,130,2K Australia,Good
Shadow The Hedgehog,PS2,2005,Platform,Sega,0.5,0.02,0,0.6,45,28,6,137,Sonic Team,Excelent
Aliens: Colonial Marines,PS3,2013,Shooter,Sega,0.2,0.29,0,0.6,43,25,3.6,295,Gearbox Software,Good
Yakuza: Dead Souls,PS3,2011,Shooter,Sega,0.09,0.06,0.42,0.6,64,55,7.4,69,Ryu ga Gotoku Studios,Good
Just Dance 2015,X360,2014,Misc,Ubisoft,0.42,0.13,0,0.6,,,8.3,6,Ubisoft,Excelent
Secret Agent Clank,PS2,2009,Platform,Sony Computer Entertainment,0.13,0.18,0,0.6,61,9,6.7,14,Sanzaru Games,Excelent
Call of Juarez: Bound in Blood,X360,2009,Shooter,Ubisoft,0.3,0.24,0,0.6,77,77,7.6,94,Techland,Good
Total War: Shogun 2,PC,2011,Strategy,Sega,0.19,0.31,0,0.6,90,62,8.3,1180,Creative Assembly,Below Average
Monopoly,X360,2008,Misc,Electronic Arts,0.34,0.2,0,0.59,56,9,5.8,17,EA Bright Light,Average
Rock Band 2,PS2,2008,Misc,MTV Games,0.29,0.23,0,0.59,,,8,4,Harmonix Music Systems,Below Average
Mega Man Anniversary Collection,PS2,2004,Platform,Capcom,0.29,0.22,0,0.59,81,26,9,20,Atomic Planet Entertainment,Average
Deus Ex: Human Revolution,PC,2011,Shooter,Square Enix,0.25,0.25,0,0.58,90,52,8.5,3069,Nixxes Software,Good
Game Party in Motion,X360,2010,Misc,Warner Bros. Interactive Entertainment,0.36,0.17,0,0.58,33,6,3.7,9,Farsight Studios,Average
Rayman Legends,PS3,2013,Platform,Ubisoft,0.14,0.34,0,0.58,91,23,8.7,310,Ubisoft Montpellier,Excelent
Far Cry Instincts,XB,2005,Shooter,Ubisoft,0.32,0.24,0,0.57,85,56,5.7,73,Ubisoft Montreal,Good
Hasbro Family Game Night,PS2,2008,Puzzle,Electronic Arts,0.28,0.22,0,0.57,,,tbd,,EA Bright Light,Average
Payday 2,X360,2013,Shooter,505 Games,0.33,0.19,0,0.57,75,18,6.3,203,Overkill Software,Good
Blacksite: Area 51,X360,2007,Shooter,Midway Games,0.29,0.22,0,0.57,62,48,6.1,65,Midway Studios - Austin,Below Average
XCOM: Enemy Unknown,PS3,2012,Strategy,Take-Two Interactive,0.24,0.23,0,0.57,89,20,8.2,296,Firaxis Games,Good
The Sims 3: World Adventures,PC,2009,Simulation,Electronic Arts,0.02,0.18,0,0.57,81,31,8,72,The Sims Studio,Below Average
Rock Band 3,PS3,2010,Misc,MTV Games,0.43,0.08,0,0.57,91,34,8,95,Harmonix Music Systems,Below Average
Defiance,X360,2013,Shooter,Trion Worlds,0.38,0.14,0,0.57,60,27,7.2,249,Trion Worlds,Good
Doom 3 BFG Edition,PS3,2012,Shooter,Bethesda Softworks,0.26,0.21,0,0.57,67,16,6.4,107,id Software,Good
Spider-Man 3,X360,2007,Platform,Activision,0.49,0.04,0,0.57,63,61,7,53,Treyarch,Below Average
Titanfall,PC,2014,Shooter,Electronic Arts,0.22,0.3,0,0.56,86,29,6.2,1727,Respawn Entertainment,Good
"Warhammer 40,000: Space Marine",X360,2011,Shooter,THQ,0.25,0.26,0,0.56,76,57,7.8,232,Relic,Good
Harry Potter Collection,PS2,2006,Misc,Electronic Arts,0.28,0.21,0,0.56,,,tbd,,Electronic Arts,Excelent
LEGO Rock Band,X360,2009,Misc,Warner Bros. Interactive Entertainment,0.4,0.11,0,0.56,71,50,7.2,31,TT Fusion,Excelent
Petz Dogz 2,PS2,2007,Simulation,Ubisoft,0.28,0.21,0,0.56,,,tbd,,Ubisoft,Average
Battlefield 2: Modern Combat,XB,2005,Shooter,Electronic Arts,0.39,0.15,0,0.56,80,49,8.2,29,Digital Illusions,Below Average
Wolfenstein,X360,2009,Shooter,Activision,0.28,0.22,0,0.56,72,66,7.5,128,"id Software, Raven Software",Good
Frontlines: Fuel of War,X360,2008,Shooter,THQ,0.34,0.15,0.01,0.56,75,55,7.8,77,Kaos Studios,Below Average
Shrek 2,XB,2004,Platform,Activision,0.4,0.13,0,0.55,72,31,8.4,5,"Luxoflux, Inc.",Average
Lips: Number One Hits,X360,2009,Misc,Microsoft Game Studios,0.15,0.34,0,0.55,70,22,7.6,7,iNiS,Below Average
Red Dead Revolver,XB,2004,Shooter,Take-Two Interactive,0.4,0.12,0,0.55,74,61,8.5,26,Rockstar San Diego,Good
Sly Cooper: Thieves in Time,PS3,2013,Platform,Sony Computer Entertainment Europe,0.35,0.12,0,0.54,75,69,8.3,343,Sanzaru Games,Excelent
Spec Ops: The Line,PS3,2012,Shooter,Take-Two Interactive,0.19,0.23,0.04,0.54,77,27,8,350,Yager,Good
The SpongeBob SquarePants Movie,XB,2004,Platform,THQ,0.4,0.12,0,0.54,74,14,8.5,8,Heavy Iron Studios,Average
F.E.A.R.,PS3,2007,Shooter,Vivendi Games,0.18,0.26,0,0.54,72,31,7.4,64,Day 1 Studios,Good
Metro 2033,X360,2010,Shooter,THQ,0.22,0.23,0.03,0.54,77,83,7.9,351,4A Games,Good
Greg Hastings' Tournament Paintball,XB,2004,Shooter,Activision,0.46,0.06,0,0.54,74,11,9.2,42,WXP,Below Average
Over the Hedge,PS2,2006,Platform,Activision,0.45,0.02,0,0.54,58,29,8.6,10,Edge of Reality,Excelent
Time Crisis: Razing Storm,PS3,2010,Shooter,Namco Bandai Games,0.18,0.2,0.07,0.54,58,49,5.9,15,Nex Entertainment,Below Average
Conflict: Vietnam,PS2,2004,Shooter,SCi,0.26,0.2,0,0.53,58,24,8.1,21,Pivotal Games,Good
Overwatch,PC,2016,Shooter,Activision,0.25,0.24,0,0.53,91,62,6.8,4052,Blizzard Entertainment,Below Average
Medal of Honor: European Assault,XB,2005,Shooter,Electronic Arts,0.32,0.19,0,0.53,72,42,7,15,EA LA,Below Average
Ty the Tasmanian Tiger 2: Bush Rescue,PS2,2004,Platform,Electronic Arts,0.26,0.2,0,0.53,71,24,8.2,22,Krome Studios,Average
StarCraft II: Legacy of the Void,PC,2015,Strategy,Activision,0.19,0.29,0,0.53,88,62,8.3,833,Blizzard Entertainment,Below Average
Terminator Salvation,PS3,2009,Shooter,Warner Bros. Interactive Entertainment,0.13,0.28,0.01,0.53,43,41,3.9,70,GRIN,Below Average
Bulletstorm,PS3,2011,Shooter,Electronic Arts,0.23,0.2,0.01,0.53,83,57,7.7,288,"Epic Games, People Can Fly",Good
Michael Jackson: The Experience,PS3,2011,Misc,Ubisoft,0.25,0.19,0,0.52,66,11,8.4,16,Ubisoft Montreal,Excelent
F.E.A.R. 2: Project Origin,X360,2009,Shooter,Warner Bros. Interactive Entertainment,0.32,0.15,0,0.52,77,68,8,114,Monolith Productions,Good
We Love Katamari,PS2,2005,Puzzle,Electronic Arts,0.26,0.2,0,0.52,86,61,8.9,51,Namco,Average
Sesame Street: Once Upon A Monster,X360,2011,Misc,Warner Bros. Interactive Entertainment,0.39,0.09,0,0.52,79,26,6.9,22,Double Fine Productions,Average
SingStar Dance,PS3,2010,Misc,Sony Computer Entertainment,0.09,0.31,0,0.52,65,21,3.9,8,SCEE London Studio,Below Average
